epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,750.525,1.0414,0.52308,1.09397,0.94622,0.93274,0.98042,0.58654,1.46396,0.57294,1.25895,0.00036302,0.00036302,0.00036302
105,757.58,1.06922,0.50502,1.10769,0.94013,0.95263,0.98251,0.58762,1.48407,0.5869,1.28268,0.000361038,0.000361038,0.000361038
106,764.668,1.03654,0.48966,1.09173,0.94752,0.93711,0.98768,0.61225,1.3772,0.57031,1.23807,0.000359045,0.000359045,0.000359045
107,771.633,1.06801,0.49314,1.11468,0.89904,0.93029,0.96515,0.58405,1.40801,0.67873,1.27253,0.000357041,0.000357041,0.000357041
108,778.749,1.04075,0.50086,1.09466,0.91977,0.89856,0.96482,0.57385,1.4426,0.69363,1.26967,0.000355027,0.000355027,0.000355027
109,785.799,1.03445,0.48137,1.08358,0.92811,0.92059,0.98419,0.57274,1.49103,0.63363,1.32871,0.000353002,0.000353002,0.000353002
110,792.858,1.06402,0.5085,1.11193,0.93817,0.90413,0.96983,0.57966,1.45557,0.62899,1.25728,0.000350967,0.000350967,0.000350967
111,799.801,1.02874,0.49074,1.08032,0.92833,0.91931,0.96701,0.56479,1.46278,0.68426,1.26758,0.000348923,0.000348923,0.000348923
112,806.817,1.05354,0.48977,1.07643,0.92201,0.90749,0.97155,0.55966,1.4844,0.69385,1.28434,0.000346869,0.000346869,0.000346869
113,813.868,1.0186,0.49222,1.08009,0.90721,0.88599,0.96051,0.58592,1.41003,0.71103,1.24746,0.000344806,0.000344806,0.000344806
114,820.879,1.03798,0.48621,1.08822,0.87464,0.9175,0.93505,0.56406,1.41079,0.72525,1.24141,0.000342733,0.000342733,0.000342733
115,828.089,1.04144,0.48416,1.08141,0.90466,0.9025,0.9644,0.57805,1.43797,0.68667,1.24159,0.000340652,0.000340652,0.000340652
116,835.003,1.0453,0.50801,1.09393,0.87856,0.87879,0.93594,0.53517,1.53014,0.79557,1.32173,0.000338562,0.000338562,0.000338562
117,841.991,1.00326,0.48478,1.07208,0.93158,0.91021,0.96582,0.59602,1.4107,0.63915,1.24474,0.000336464,0.000336464,0.000336464
118,849.039,1.0304,0.48983,1.08484,0.90642,0.87434,0.95622,0.57037,1.44695,0.74568,1.26035,0.000334358,0.000334358,0.000334358
119,856.045,1.01246,0.48999,1.07333,0.89133,0.89464,0.94638,0.5663,1.4613,0.74183,1.29474,0.000332243,0.000332243,0.000332243
120,863.138,1.052,0.49313,1.08852,0.92968,0.89584,0.96808,0.57831,1.48346,0.63774,1.27627,0.000330121,0.000330121,0.000330121
121,870.342,1.02579,0.48231,1.08504,0.86768,0.93697,0.9679,0.60203,1.385,0.64424,1.23593,0.000327991,0.000327991,0.000327991
